state_id,init_x,init_y,init_z,init_vx,init_vy,init_vz,pred_x,pred_y,error
0,0.06,0.88,0.52,0.78,-5.55,0.52,0.357821,-1.23911,4.05386e-08
1,0.194848,1.27407,0.386699,-0.342239,-4.6386,2.42206,-0.014865,-1.56832,2.25148e-08
2,-0.0837995,1.16051,0.446049,0.747031,-4.99501,2.56107,0.402294,-2.08974,7.65672e-08
3,0.117043,-1.639,0.205118,-0.464276,4.95074,2.04332,-0.113089,0.814969,2.11221e-08
4,0.158973,0.881193,0.499693,-1.01232,-3.69655,0.92903,-0.272659,-0.69493,1.93928e-08
5,0.011272,1.10486,0.483704,0.277776,-4.85154,1.05401,0.132724,-1.01637,2.81965e-08
6,-0.79,0.59,0.39,2.02,-2.76,0.32,-0.141249,-0.296412,0.0169004
7,-0.29,1.34,0.49,1.34,-6.02,1.42,0.368441,-1.61807,0.0298908
8,0.114464,0.889661,0.365574,-1.09515,-5.0653,0.770099,-0.282566,-0.946692,4.40307e-08
9,-0.37,1.25,0.4,2.15,-5.52,1.16,0.542806,-1.09358,2.68509e-08
10,0.390326,1.62006,0.474509,-1.69318,-4.73475,1.64118,-0.490075,-0.841871,0.0244626
11,-0.45,1.25,0.48,0.05,-4.57,1.33,-0.426266,-0.919288,6.49079e-08
12,0.470353,1.10171,0.410989,-1.30014,-4.15704,1.83622,-0.215694,-1.09184,2.58204e-08
13,0.377976,1.22611,0.532206,-1.39988,-3.41452,1.80804,-0.403007,-0.678836,2.81718e-08
14,-0.796068,1.91932,0.268431,1.45441,-8.70778,1.95221,-0.0734037,-2.40737,3.50472e-08
15,0.34,1.38,0.46,-1.36,-6.52,0.41,-0.135809,-0.901084,3.52957e-08
16,0.0162853,1.41201,0.447594,0.612915,-3.89052,1.48672,0.314852,-0.483156,2.92427e-08
17,-0.421866,-1.10126,0.310988,1.44747,6.3498,1.77406,0.278992,1.97328,5.34925e-10
18,0.576395,1.15037,0.433131,-0.0859305,-4.88094,2.47037,0.522112,-1.93299,2.6584e-09
19,0.616248,0.465194,0.25418,-0.433937,-2.92432,1.03464,0.461741,-0.576034,1.76772e-09
20,-0.35,1.47,0.3,0.29,-6.71,2.29,-0.186723,-2.30788,7.15281e-09
21,-0.555,-1.4162,0.361688,1.34155,4.60109,2.68575,0.316011,1.57109,1.9992e-08
22,0.746392,1.00995,0.428475,-2.34343,-6.4643,1.49157,-0.385057,-2.11112,0.0332373
23,-0.417339,1.26533,0.390368,0.672241,-5.69704,1.11786,-0.1351,-1.12657,0.0279853
24,0.65,1.71,0.4,-0.97,-6.2,1.83,0.14439,-1.52173,3.93041e-08
25,0.27,1.15,0.38,-1.94,-5.4,1.34,-0.597457,-1.26457,0.0279459
26,0.0197857,1.19609,0.539845,0.0346717,-4.56822,1.11949,0.0358366,-0.918715,4.68277e-08
27,0.05426,1.0316,0.379515,0.629558,-5.4277,1.34865,0.334088,-1.38093,1.76418e-08
28,-0.296143,1.39472,0.412611,2.55216,-6.84214,1.88487,1.06016,-2.24142,3.01691e-08
